"Document ID","Document Title",Categories,"Number of Views"
34135,"Minnesota &#8211; Administrative Rules: Nursing Home Regulations (Chapter 4658)","Long Term Care State Regulations, Minnesota, State Regulations",15
458550,"Minnesota Statutes &#8211; Nursing Homes and Home Care (Chapter 144A)","Long Term Care State Regulations, Minnesota, State Regulations",15
470376,"Traumatic Brain Injury Training Presentation","Neurological Care, Staff Development, Tools and Templates",15
36737,"Resident Smoking Policy","Administration, Policies and Procedures, Tools and Templates",14
39176,"CPAP/BiPAP Cleaning Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",14
37854,"Resident Rights Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",14
451886,"Isolation Gown Use During Infection Outbreaks Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",14
37058,"Emergency Preparedness Associated Policies and Tools","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",14
33562,"Activities &#8211; Does Not Engage &#8220;I&#8221; Care Plan","Activities, Care Plans, Care Plans, MDS, Tools and Templates",14
33445,"Activities for Stages of Alzheimer&#8217;s Disease","Activities, Activity Plans, Tools and Templates",14
38131,"Head Injury Policy","Falls Prevention, Nursing, Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Tools and Templates",14
512469,"Accidents and Supervision &#8211; Interventions to Minimize Falls / Accidents Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",14
40874,"Culturally Competent Care Training Presentation","Cultural Competency, Social Services, Social Services, Staff Development, Tools and Templates, Training",14
36142,"Social Services Related Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, Forms and Checklists, Performance Improvement Projects, QAPI, Social Services, Tools and Templates",14
24554,"K-Tag Regulatory Grouping Chart","*K-Tag Regulatory Grouping Chart, K Tags, Life Safety Code Survey, Survey and Certification",14
37286,"Menus and Adequate Nutrition Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",14
36494,"Medication Self-Administration Assessment Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",14
35663,"Fall Risk Protocol: Low/Moderate Risk","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",14
525777,"Notice of Medicare Non-Coverage (CMS-10123) Effective January 1, 2025","CMS, Forms, Medicare, QIO, Regulatory Agencies",14
525876,"Special Focus Facility List (November 2024)","Five Star Quality Rating System, Special Focus Facility, Survey and Certification",14
480930,"Management of Respiratory Syncytial Virus (RSV) Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",14
40191,"Activities Director Professional Competency Evaluation Form","Activities, Competencies and Skills, Competency Job Description, Professional Development, Staff Development, Tools and Templates",14
34169,"Dietary-Related Activities Policy","Activities, Activities, Policies and Procedures, Policies and Procedures, Tools and Templates",14
40471,"QAPI Storyboard Guide for Performance Improvement Projects (PIPs)","Element 4 - Performance Improvement Projects, Government Initiatives, QAPI",14
37101,"Revision History for LTC Survey Process Documents and Files","1. LTC Survey Process Procedures, Long Term Care Survey Process, Survey and Certification",14
490275,"Coffee with a Side of Laughs Activity Plan","Activities, Activity Plans, Tools and Templates",14
38169,"Documentation of Wound Treatments Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",14
514440,"Non-Discrimination &#8211; Effective Communication and Modifications for Disabilities Policy","Administration, Policies and Procedures, Tools and Templates",14
37410,"Medical Examination &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",14
37042,"Critical Emergency Resources","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",14
465753,"All Staff Meeting Agenda","Administrative, QAPI, Tools, Tools and Templates",14
38269,"Incontinence Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",14
450522,"Dining and Nutrition Informed Choice Documentation","Food and Nutrition Forms, Food and Nutrition Service, Nutrition and Hydration, Staff Development, Tools and Templates",14
474795,"§483.90(a)(b) Physical Environment","Appendix I, Appendix PP (F-Tags), K Tags, Life Safety Code Survey, Section 1: General Requirements, Survey and Certification",14
40589,"Hot Liquid Safety Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",14
489145,"Facility Daily Stand-up Meeting Policy","Administration, Policies and Procedures, Tools and Templates",14
39221,"Legionella Surveillance Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",14
38190,"Pressure Injury Surveillance Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",14
36713,"Quality Assessment and Assurance Committee Policy","Administration, Policies and Procedures, Tools and Templates",14
459384,"Customer Service Culture of Hospitality Training Presentation","Professional Development, Staff Development, Tools and Templates",14
35667,"Fall Witness Statement","Falls Prevention, Forms and Checklists, Nursing, Tools and Templates",14
524471,"Quality Measures Analysis","Administrative, Quality Measures, Tools and Templates",14
36957,"Flood Emergency Procedures Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",14
37014,"Water Management &#8211; Boil Order Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",14
39156,"Administration and Interpretation of Tuberculin Skin Tests Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",14
36424,"Job Performance Appraisal &#8211; PDF Form Fillable","Forms and Checklists, Human Resources, Tools and Templates",14
36993,"Resident and Family Notification of Emergency Plan Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",14
529131,"Lost or Missing Item(s) Report","Forms and Checklists, Social Services, Tools and Templates",14
35910,"Life Safety Code Inspection Check Off Form","Life Safety Code, Maintenance, Tools, Tools and Templates",14
506752,"January 2025 Activity Calendar","Activities, Activity Calendars, Tools and Templates",14
39372,"Water System Infection Control Risk Assessment","Forms and Checklists, Infection Control, Maintenance, Nursing, Physical Plant, Tools, Tools and Templates",14
461240,"Return to Work Criteria for Healthcare Personnel with COVID-19 Infection or Exposure to COVID-19 Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",14
518001,"Safety Tip Sheets","Maintenance, Physical Plant, Tools, Tools and Templates",14
39998,"Nursing Home Infection Preventionist Training Course","Infection Control, Infection Control, Nursing, Prevention, Staff Development, Tools and Templates, Training",14
35563,"Dietary Quality Improvement Worksheet","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",14
34110,"Activity Refusal Reporting Worksheet","Activities, Quality Reports, Tools and Templates",14
40742,"Physical Assessment Validation Checklist","Competencies and Skills, Nursing, Staff Development, Supplemental Tools, Tools and Templates",14
27796,"F-689 Free of Accident Hazards / Supervision / Devices","Appendix PP (F-Tags), Survey and Certification",14
457181,"Physician Notification Report","Nursing, Supplemental Tools, Tools and Templates",14
453429,"Infection Preventionist Orientation Checklist","Competency/Job Descriptions, Infection Control, Nursing, Tools and Templates",14
460232,"End of Life Assessment Form","Forms and Checklists, Social Services, Tools and Templates",14
33478,"Monthly Themed Activities Calendar","Activities, Activity Plans, Tools and Templates",13
34139,"Resident Council Meeting Attendance Sheet","Activities, Resident and Family Council, Tools and Templates",13
457833,"Bladder and Bowel Retraining Tool","Nursing, Supplemental Tools, Tools and Templates",13
499358,"Resident Individual Monthly Activity Attendance Log &#8211; Spreadsheet Format","Activities, Activity Forms and Assessments, Tools and Templates",13
36218,"Advance Beneficiary Notices Policy","Administrative, Business Office, Business Office, Policies and Procedures, Policies and Procedures, Tools and Templates",13
43190,"Baseline Care Plan Tracking Log","MDS, Supplemental Tools, Tools and Templates",13
458748,"Bloodborne Pathogens/Contaminated Sharps Occupational Exposure Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",13
460892,"TB Risk Classification","Forms and Checklists, Infection Control, Nursing, Tools and Templates",13
487035,"Food Code 2022","*Food Code, FDA, Food and Nutrition Service, Food Code, Regulatory Agencies, Tools and Templates",13
39642,"Module 01: Overview of Mild Cognitive Impairment and Dementia for an Interprofessional Team","Dementia, Staff Development, Tools and Templates",13
469113,"Incidents and Accidents Policy","Administration, Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",13
37312,"Standardized Menus Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",13
38568,"Notification of Changes Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",13
40199,"Dietary Manager Professional Competency Evaluation Form","Competencies and Skills, Competency/Job Description, Food and Nutrition Service, Professional Development, Staff Development, Tools and Templates",13
460207,"Medicare Part A SNF Coverage Quick Reference Guide","Administrative, Admissions, Business Office, Tools, Tools and Templates",13
518308,"FY2025 ICD-10-CM Table of Neoplasms","Code Sets, ICD Codes, ICD-10",13
34734,"Tennessee &#8211; Standards for Nursing Homes (Chapter 0720-18)","Long Term Care State Regulations, State Regulations, Tennessee",13
36734,"Resident Smoking &#8211; Smoke Free Facility Policy","Administration, Policies and Procedures, Tools and Templates",13
38388,"Medication Administration via Enteral Tube Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",13
28004,"F-656: Developing Comprehensive Care Plans (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",13
39275,"Vaccine Information Statements Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",13
37866,"Sexual Expression of Residents Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",13
41689,"Staffing Dashboard At-A-Glance","Forms and Checklists, Human Resources, Tools and Templates",13
33351,"Florida Aspen &#8211; Assisted Living Regulations","Assisted Living State Regulations, Florida, State Regulations",13
36128,"Resident Psychosocial Health Questionnaire","Forms and Checklists, Social Services, Tools and Templates",13
39415,"Abuse, Neglect, and Exploitation Investigation Training Presentation Pre-Post Test (Questions with Answer Key)","Abuse, Abuse, Neglect, and Exploitation Investigation, Competencies and Skills, Social Services, Social Services, Staff Development, Tools and Templates, Training",13
37005,"Shelter in Place Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",13
36486,"Medication Regimen Review Communication Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",13
38102,"Oxygen Concentrator In-House Communication Form","Nursing, Supplemental Tools, Tools and Templates",13
37047,"Emergency Equipment Log","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",13
37051,"Emergency Preparedness Collaboration Tracking Log","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",13
499115,"Employee Exit Procedure Form","Forms and Checklists, Human Resources, Tools and Templates",13
459229,"Central Venous Access Catheter Flushing, Locking, Removal Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",13
456398,"PICC/Midline/CVAD Dressing Change Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",13
43634,"Restorative Schedule Sample Form","Forms and Checklists, Nursing, Restorative Nursing Services, Tools and Templates",13
36158,"Five Star: Navigating the Methodology of Quality Ratings Training Presentation","Administrative, Five Star, Quality Measures, Staff Development, Tools and Templates",13
36890,"Contract Employees Emergency Preparedness Training Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",13
456586,"Section GG: Functional Performance OBRA Tool","Administrative, Financial Solutions, MDS, SNF Quality Reporting, Supplemental Tools, Tools and Templates",13
37008,"Succession Planning Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",13
36111,"Grievance Trending Report","Forms and Checklists, Social Services, Tools and Templates",13
39167,"Care and Maintenance of Central Venous Catheter Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",13
39161,"Antibiotic Prescribing Practices Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",13
40369,"Bloodborne Pathogens Standard Training for Healthcare Professionals Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Staff Development, Tools and Templates, Workplace Safety",13
523593,"Credit Card Use for Payment Policy","Administrative, Business Office, Business Office, Policies and Procedures, Policies and Procedures, Tools and Templates",13
458741,"Guideline for Disinfection and Sterilization in Healthcare Facilities, 2008 (June 2024 Update)","CDC, Compliance Guidelines, Environmental Services, Instructional Guides, Regulatory Agencies, Tools and Templates",13
461612,"PT-INR Flow Sheet","Nursing, Supplemental Tools, Tools and Templates",13
35278,"Environmental Services Cleaning Procedures for Common Items","Environmental Services, Instructional Guides, Tools and Templates",13
43613,"Resident Chart Audit &#8211; Restorative Nursing Services","Forms and Checklists, Nursing, Restorative Nursing Services, Tools and Templates",13
509991,"Tuberculosis Screening Questionnaire","Forms and Checklists, Infection Control, Nursing, Tools and Templates",13
38092,"Against Medical Advice (AMA) Form","Nursing, Supplemental Tools, Tools and Templates",13
35289,"Dietary Manager Competency Checklist","Competencies and Skills, Competency/Job Description, Food and Nutrition Service, Staff Development, Tools and Templates",13
37067,"Essential Personnel During an Emergency","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",13
483143,"Vision, Hearing and Oral Health","Nursing, Program Development, Staff Development, Supplemental Tools, Tools and Templates, Training Plans",13
40812,"Infection Outbreak in Community Action Plan","Forms and Checklists, Infection Control, Nursing, Tools and Templates",12
37244,"Calibrating Thermometers Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",12
38178,"Pressure Injury Focus Meeting Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",12
37352,"Competency Evaluation Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",12
457837,"Bladder and Bowel Assessment","Nursing, Supplemental Tools, Tools and Templates",12
38428,"Oxygen Administration Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",12
36237,"Items and Services That May be Charged to Residents&#8217; Funds Policy","Administrative, Business Office, Business Office, Policies and Procedures, Policies and Procedures, Tools and Templates",12
36114,"Local Contact Agency Information Form","Forms and Checklists, Social Services, Tools and Templates",12
37188,"Bed Bug Prevention and Management Policy","Environmental Services, Environmental Services, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Tools and Templates",12
33587,"Activities Preferences &#8220;I&#8221; Care Plan","Activities, Care Plans, Care Plans, MDS, Tools and Templates",12
39439,"Activities of Daily Living Policies and Policy Review Test (Questions with Answer Key)","Activities of Daily Living, Competencies and Skills, Staff Development, Tools and Templates",12
524780,"Blood Glucose Checks Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",12
40021,"Employee with S/S of Infection (Work Restrictions) &#8211; Infection Control Policy and Policy Review Test (Questions with Answer Key)","Common Infections, Competencies and Skills, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",12
33448,"Auction Bonanza Activity Plan","Activities, Activity Plans, Tools and Templates",12
461402,"Census Rehospitalization Tracking Form","Administrative, Admissions, Business Office, Tools, Tools and Templates",12
40099,"Medication Management Training Plan (Licensed Nurses)","Medication Management, Staff Development, Tools and Templates",12
37225,"Resident Transport Wheelchair Cleaning Policy","Environmental Services, Environmental Services, Policies and Procedures, Policies and Procedures, Tools and Templates",12
37298,"Purée Food Preparation Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",12
451563,"*Potential Immediate Jeopardy (IJ) Triggers","Immediate Jeopardy Removal Plans, Survey Management, Tools and Templates",12
499123,"Employee Voluntary Resignation Form","Forms and Checklists, Human Resources, Tools and Templates",12
34115,"No Show Activity Reporting Worksheet","Activities, Quality Reports, Tools and Templates",12
35241,"Environmental Services Employee Orientation Checklist","Competency Job Description, Environmental Services, Tools and Templates",12
489075,"Dietary Aide &#8211; Dishwasher Competency Checklist","Competencies and Skills, Competency/Job Description, Food and Nutrition Service, Staff Development, Tools and Templates",12
485529,"Compliance and Ethics Program: Standards, Policies, and Procedures Training Presentation","Administrative, Compliance and Ethics, Compliance and Ethics, Compliance and Ethics Program, Staff Development, Tools and Templates, Training",12
27883,"F-880 Infection Prevention and Control","Appendix PP (F-Tags), Survey and Certification",12
40179,"Sample Inservice Plan","Program Development, Staff Development, Tools and Templates, Training Plans",12
40164,"Staff Education Needs/Preferences Survey","Program Development, Staff Development, Supplemental Tools, Tools and Templates",12
40153,"Educational Needs Assessment","Program Development, Staff Development, Supplemental Tools, Tools and Templates",12
39933,"Effective Communication Training Handouts","Effective Communication, Staff Development, Tools and Templates",12
40228,"Resident Rights and Facility Responsibilities Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Resident Rights, Social Services, Social Services, Staff Development, Tools and Templates, Training",12
37253,"Dietary Quality Assurance and Performance Improvement Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",12
450675,"Antipsychotic Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",12
37087,"Memorandum of Understanding (MOU) Template","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",12
36761,"Transfer Agreement Policy","Administration, Policies and Procedures, Tools and Templates",12
36758,"Training Requirements Policy","Administration, Policies and Procedures, Tools and Templates",12
36489,"Medication Regimen Review Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",12
37653,"Resident Assessment &#8211; RAI Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",12
43603,"Restorative Nurse Education Competency Checklist","Competencies and Skills, Competency/Job Descriptions, Nursing, Restorative Nursing Services, Staff Development, Tools and Templates",12
37611,"Care Plan Revisions Upon Status Change Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",12
451492,"COVID-19 Focused Infection Control (FIC) Survey Entrance Conference Worksheet","2. Facility Entrance, Long Term Care Survey Process, Survey and Certification",12
34710,"North Dakota &#8211; Nursing Facility Requirements","Long Term Care State Regulations, North Dakota, State Regulations",12
496211,"Pressure Ulcers/Injuries Process Auditing Chart Review","Administrative, Process Auditing Tools, QAPI, Tools and Templates",12
34095,"Kentucky &#8211; LTC Regulations (Title 902: Chapter 20 Health Services and Facilities)","Kentucky, Long Term Care State Regulations, State Regulations",12
521777,"CMS-10055 SNF Advanced Beneficiary Notice of Non-Coverage (SNF ABN) Form (Mandatory 10/31/24)","CMS, Forms, Medicare, Regulatory Agencies",12
36887,"Clinical Supplies in Case of Emergency Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",12
525874,"State-Level Health Inspection Cut Point Table (November 2024)","Five Star Quality Rating System, Health Inspections, Survey and Certification",12
38413,"Medication Storage Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",12
32937,"Mega Rule Phase 3 Action Plan","Survey Management, Survey Management Tools, Tools and Templates",12
35753,"Social Services Director Job Description","Competency/Job Descriptions, Human Resources, Job Descriptions, Social Services, Tools and Templates",12
36972,"Incident Command Communication Procedures Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",12
36936,"Emergency Preparedness Training and Testing Program Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",12
39269,"Tuberculosis Exposure Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",12
38373,"Insulin Pen Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",12
464517,"Contracted Licensed Nurse Competency Checklist","Competencies and Skills, Staff Development, Tools and Templates",12
35975,"Care Plan Meeting Minutes Form","MDS, Supplemental Tools, Tools and Templates",12
36480,"Medication Error Report Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",12
33579,"Activities &#8211; Willing to Participate &#8220;I&#8221; Care Plan","Activities, Care Plans, Care Plans, MDS, Tools and Templates",12
457835,"Three Day Elimination Pattern Tool","Nursing, Supplemental Tools, Tools and Templates",12
23013,"Form I-9: Employment Eligibility Verification (English)","DOL / Human Resources, Form I-9, Regulatory Agencies, Wage and Hour",12
36951,"Fire Drills Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",12
483255,"iQIES User Roles Matrix Job Aid Version 4.3","iQIES, MDS 3.0",12
43621,"Restorative Nurse Evaluation Form","Forms and Checklists, Nursing, Restorative Nursing Services, Tools and Templates",12
40745,"Vital Signs Policy and Policy Review Test (Questions with Answer Key)","Activities of Daily Living, Competencies and Skills, Staff Development, Tools and Templates",12
33644,"Advance Directives &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Social Services, Tools and Templates",12
37124,"Confidentiality of Personal and Medical Records Policy","Administrative, HIPAA, HIPAA, Policies and Procedures, Policies and Procedures, Tools and Templates",12
33641,"Risk for Weight Loss &#8220;I&#8221; Care Plan","Care Plans, Care Plans, Food and Nutrition Service, MDS, Tools and Templates",12
37082,"Incident Command Organizational Chart","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",12
37031,"Emergency Preparedness Incident Action Plan","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Roles and Responsibilities, Roles and Responsibilities, Safety, Tools and Templates",12
470296,"Financial Assumptions","Administrative, Financial Solutions, Tools, Tools and Templates",12
40572,"Pressure Injury Overview of Prevention and Management Training Presentation","Nursing, Pressure Injuries, Pressure Injuries, Staff Development, Tools and Templates, Training, Wound Management",12
39315,"Employee TB Symptom Screen","Forms and Checklists, Infection Control, Nursing, Tools and Templates",12
485895,"Heart Failure: A Care Solution","Care Solutions, Nursing, Tools and Templates",12
40560,"Pressure Injury Stages Infographic","Nursing, Pressure Injuries, Pressure Injuries, Staff Development, Tools and Templates, Training, Wound Management",12
37155,"Release of Medical Records Policy","Administrative, HIPAA, HIPAA, Policies and Procedures, Policies and Procedures, Tools and Templates",11
34570,"CMS/QIO Facility Assessment Tool","Administrative, Compliance Solutions, Facility Assessment, Tools and Templates",11
457780,"Urine Sample Collection Policy and Policy Review Test (Questions with Answer Key)","Bladder and Bowel, Competencies and Skills, Staff Development, Tools and Templates",11
39194,"Infection Control in Emergencies Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",11
38404,"Medication Reconciliation Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
38485,"Call Lights: Accessibility and Timely Response Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",11
39313,"Cold vs Flu Infographic","Forms and Checklists, Infection Control, Nursing, Tools and Templates",11
493945,"Broader Use of Masking Risk Assessment","Forms and Checklists, Infection Control, Nursing, Tools and Templates",11
37318,"Use and Storage of Food Brought in by Family or Visitors Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",11
460078,"Baseline Care Plan Summary Form","MDS, Supplemental Tools, Tools and Templates",11
453422,"Infection Prevention Post-Acute Risk Assessment Prioritization Worksheet","Forms and Checklists, Infection Control, Nursing, Tools and Templates",11
451603,"COVID-19 Tools and Resource List","Forms and Checklists, Infection Control, Nursing, Tools and Templates",11
458024,"COVID-19 Vaccine Standing Order Form","Forms and Checklists, Infection Control, Nursing, Tools and Templates",11
450029,"*High Risk Events Forms Packet","Administrative, High Risk Events, Risk Management, Tools and Templates",11
43693,"Billing Statements and Resident Collections Policy","Administrative, Business Office, Business Office, Policies and Procedures, Policies and Procedures, Tools and Templates",11
43632,"Restorative Nursing Training Plan","Nursing, Restorative Nursing Services, Restorative Nursing Services, Staff Development, Tools and Templates, Training",11
39245,"Resident Screening for Tuberculosis Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
459676,"Dietitian Nutritional Recommendations Form","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",11
36473,"Insulin 28 Day Expiration Date Calculator","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",11
29714,"Binder Basics: Activity Professionals (Binder Spine)","Activities, Binder Basics, Tools and Templates",11
523590,"Company Credit Card Use &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",11
36642,"Compliance with Reporting Allegations of Abuse/Neglect/Exploitation Policy","Administration, Policies and Procedures, Tools and Templates",11
35782,"Social Services Professional Competency Evaluation Form","Competencies and Skills, Competency/Job Descriptions, Professional Development, Social Services, Staff Development, Tools and Templates",11
507172,"Admin Info Letter 25-06 (24-12 REVISED): Guidance for Federal Monitoring Survey (FMS)","2024 Fiscal Year, 2025 Fiscal Year, Quality, Safety, and Oversight (QSO) Letters, Survey and Certification",11
40185,"Training Program Contract Services","Program Development, Staff Development, Tools and Templates, Training Plans",11
40167,"Training Program Evaluation","Program Development, Staff Development, Supplemental Tools, Tools and Templates",11
39224,"Management of C. Difficile Infection Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
39943,"Emergency Procedures: Basic Preparedness and Regulatory Requirements Training Presentation Pre-Post Test (Questions with Answer Key)","Administrative, Competencies and Skills, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Safety, Staff Development, Testing and Training, Testing and Training, Tools and Templates",11
27859,"F-812 Food Procurement, Store / Prepare / Serve &#8211; Sanitary","Appendix PP (F-Tags), Survey and Certification",11
444489,"Thickened Liquids Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",11
35560,"Dietary Menu Template","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",11
36815,"Compliance and Ethics Reporting Policy","Administrative, Compliance and Ethics, Compliance and Ethics, Policies and Procedures, Policies and Procedures, Tools and Templates",11
40462,"QAPI Plan, Do, Study, Act (PDSA) Worksheet","Administrative, QAPI, Tools, Tools and Templates",11
38376,"Labeling of Medications and Biologicals Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",11
